"","Date","Code","Level","Sector","QoQ","YoY"
"1",1990-03-31,"TOTAL",277412,NA,NA,NA
"2",1990-03-31,"C",45203,"MANUFACTURING",NA,NA
"3",1990-03-31,"F",26742,"CONSTRUCTION",NA,NA
"4",1990-03-31,"G",27909,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",NA,NA
"5",1990-03-31,"H",10862,"TRANSPORTATION AND STORAGE",NA,NA
"6",1990-03-31,"I",10038,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",NA,NA
"7",1990-03-31,"J",8481,"INFORMATION AND COMMUNICATION",NA,NA
"8",1990-03-31,"K",15293,"FINANCIAL AND INSURANCE ACTIVITIES",NA,NA
"9",1990-03-31,"L",32295,"REAL ESTATE ACTIVITIES",NA,NA
"10",1990-03-31,"M",11639,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",NA,NA
"11",1990-03-31,"N",7501,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",NA,NA
"12",1990-03-31,"O",25924,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",NA,NA
"13",1990-03-31,"P",21863,"EDUCATION",NA,NA
"14",1990-03-31,"Q",15430,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",NA,NA
"15",1990-03-31,"R",4909,"ARTS, ENTERTAINMENT AND RECREATION",NA,NA
"16",1990-03-31,"S",5185,"OTHER SERVICE ACTIVITIES",NA,NA
"17",1990-03-31,"T",782,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",NA,NA
"18",1990-03-31,"DE",7819,NA,NA,NA
"19",1990-03-31,"AB",11032,NA,NA,NA
"20",1990-06-30,"TOTAL",278540,NA,0.406615431199796,NA
"21",1990-06-30,"C",45491,"MANUFACTURING",0.637125854478683,NA
"22",1990-06-30,"F",26451,"CONSTRUCTION",-1.08817590307382,NA
"23",1990-06-30,"G",27931,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0.0788276183310046,NA
"24",1990-06-30,"H",10797,"TRANSPORTATION AND STORAGE",-0.598416497882525,NA
"25",1990-06-30,"I",10118,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",0.796971508268584,NA
"26",1990-06-30,"J",8442,"INFORMATION AND COMMUNICATION",-0.459851432614073,NA
"27",1990-06-30,"K",15312,"FINANCIAL AND INSURANCE ACTIVITIES",0.124239848296611,NA
"28",1990-06-30,"L",32517,"REAL ESTATE ACTIVITIES",0.687412912215521,NA
"29",1990-06-30,"M",11674,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.30071311968382,NA
"30",1990-06-30,"N",7524,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",0.30662578322891,NA
"31",1990-06-30,"O",25932,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.030859435272319,NA
"32",1990-06-30,"P",21840,"EDUCATION",-0.105200567168268,NA
"33",1990-06-30,"Q",15404,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",-0.168502916396633,NA
"34",1990-06-30,"R",4910,"ARTS, ENTERTAINMENT AND RECREATION",0.0203707476064352,NA
"35",1990-06-30,"S",5179,"OTHER SERVICE ACTIVITIES",-0.115718418514945,NA
"36",1990-06-30,"T",781,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",-0.127877237851663,NA
"37",1990-06-30,"DE",8259,NA,5.62731807136463,NA
"38",1990-06-30,"AB",11472,NA,3.98839738941261,NA
"39",1990-09-30,"TOTAL",276185,NA,-0.845480002872122,NA
"40",1990-09-30,"C",44963,"MANUFACTURING",-1.16066914334704,NA
"41",1990-09-30,"F",25919,"CONSTRUCTION",-2.01126611470266,NA
"42",1990-09-30,"G",27461,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",-1.6827181268125,NA
"43",1990-09-30,"H",10706,"TRANSPORTATION AND STORAGE",-0.84282671112345,NA
"44",1990-09-30,"I",9973,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-1.43308954338802,NA
"45",1990-09-30,"J",8364,"INFORMATION AND COMMUNICATION",-0.923951670220319,NA
"46",1990-09-30,"K",15286,"FINANCIAL AND INSURANCE ACTIVITIES",-0.1698014629049,NA
"47",1990-09-30,"L",32500,"REAL ESTATE ACTIVITIES",-0.052280345665352,NA
"48",1990-09-30,"M",11673,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.00856604420079066,NA
"49",1990-09-30,"N",7518,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.0797448165869241,NA
"50",1990-09-30,"O",25882,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",-0.192811969767078,NA
"51",1990-09-30,"P",21911,"EDUCATION",0.325091575091577,NA
"52",1990-09-30,"Q",15498,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",0.610231108802921,NA
"53",1990-09-30,"R",4865,"ARTS, ENTERTAINMENT AND RECREATION",-0.916496945010181,NA
"54",1990-09-30,"S",5118,"OTHER SERVICE ACTIVITIES",-1.17783355860205,NA
"55",1990-09-30,"T",773,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",-1.02432778489117,NA
"56",1990-09-30,"DE",8302,NA,0.520644145780366,NA
"57",1990-09-30,"AB",10670,NA,-6.99093444909344,NA
"58",1990-12-31,"TOTAL",275720,NA,-0.168365407245147,NA
"59",1990-12-31,"C",44387,"MANUFACTURING",-1.28105331049974,NA
"60",1990-12-31,"F",25732,"CONSTRUCTION",-0.721478452100783,NA
"61",1990-12-31,"G",27073,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",-1.41291285823532,NA
"62",1990-12-31,"H",10677,"TRANSPORTATION AND STORAGE",-0.270876144218192,NA
"63",1990-12-31,"I",9786,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-1.87506266920686,NA
"64",1990-12-31,"J",8348,"INFORMATION AND COMMUNICATION",-0.191296030607361,NA
"65",1990-12-31,"K",15493,"FINANCIAL AND INSURANCE ACTIVITIES",1.3541802956954,NA
"66",1990-12-31,"L",32531,"REAL ESTATE ACTIVITIES",0.095384615384603,NA
"67",1990-12-31,"M",11689,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.137068448556505,NA
"68",1990-12-31,"N",7517,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.0133014099494488,NA
"69",1990-12-31,"O",26105,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.861602658218061,NA
"70",1990-12-31,"P",22135,"EDUCATION",1.02231755739126,NA
